-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2001 through 12/31/2017 
Location: Latitude  36.7382   Longitude -119.7776 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 358.59 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M
36.73821,-119.77759,2002,04,03,   17.48
36.73821,-119.77759,2002,04,04,   16.81
36.73821,-119.77759,2002,04,05,   13.94
36.73821,-119.77759,2002,04,06,   14.61
36.73821,-119.77759,2002,04,07,   15.16
36.73821,-119.77759,2002,04,08,   17.46
36.73821,-119.77759,2002,04,09,   16.89
36.73821,-119.77759,2002,04,10,   17.10
36.73821,-119.77759,2002,04,11,   17.81
36.73821,-119.77759,2002,04,12,   18.98
36.73821,-119.77759,2002,04,13,   21.69
36.73821,-119.77759,2002,04,14,   20.89
36.73821,-119.77759,2002,04,15,   10.10
36.73821,-119.77759,2002,04,16,   11.76
36.73821,-119.77759,2002,04,17,    9.36
36.73821,-119.77759,2002,04,18,    9.07
36.73821,-119.77759,2002,04,19,   11.84
36.73821,-119.77759,2002,04,20,   13.61
36.73821,-119.77759,2002,04,21,   15.88
36.73821,-119.77759,2002,04,22,   18.81
36.73821,-119.77759,2002,04,23,   20.67
36.73821,-119.77759,2002,04,24,   17.44
36.73821,-119.77759,2002,04,25,   17.05
36.73821,-119.77759,2002,04,26,   11.93
36.73821,-119.77759,2002,04,27,   13.00
36.73821,-119.77759,2002,04,28,   14.09
36.73821,-119.77759,2002,04,29,   13.36
36.73821,-119.77759,2002,04,30,   11.81
36.73821,-119.77759,2002,05,01,   12.85
36.73821,-119.77759,2002,05,02,   15.24
36.73821,-119.77759,2002,05,03,   16.57
36.73821,-119.77759,2002,05,04,   17.70
36.73821,-119.77759,2002,05,05,   19.27
36.73821,-119.77759,2002,05,06,   18.52
36.73821,-119.77759,2002,05,07,   16.73
36.73821,-119.77759,2002,05,08,   17.66
36.73821,-119.77759,2002,05,09,   17.83
36.73821,-119.77759,2002,05,10,   14.96
36.73821,-119.77759,2002,05,11,   17.53
36.73821,-119.77759,2002,05,12,   21.73
36.73821,-119.77759,2002,05,13,   21.48
36.73821,-119.77759,2002,05,14,   19.98
36.73821,-119.77759,2002,05,15,   20.59
